College Name,Year,Enrollment,Latitude,Longitude
Rutgers- NB,9/1/1996,25222,40.5008,-74.4474
Rutgers- NB,9/1/1997,25993,40.5008,-74.4474
Rutgers- NB,9/1/1998,26673,40.5008,-74.4474
Rutgers- NB,9/1/1999,27573,40.5008,-74.4474
Rutgers- NB,9/1/2000,27852,40.5008,-74.4474
Rutgers- NB,9/1/2001,28455,40.5008,-74.4474
Rutgers- NB,9/1/2002,28475,40.5008,-74.4474
Rutgers- NB,9/1/2003,28744,40.5008,-74.4474
Rutgers- NB,9/1/2004,28407,40.5008,-74.4474
Rutgers- NB,9/1/2005,28225,40.5008,-74.4474
Rutgers- NB,9/1/2006,28432,40.5008,-74.4474
Rutgers- NB,9/1/2007,29010,40.5008,-74.4474
Rutgers- NB,9/1/2008,30608,40.5008,-74.4474
Rutgers- NB,9/1/2009,32145,40.5008,-74.4474
Rutgers- NB,9/1/2010,33855,40.5008,-74.4474
Rutgers- NB,9/1/2011,34925,40.5008,-74.4474
Rutgers- NB,9/1/2012,35331,40.5008,-74.4474
Rutgers- NB,9/1/2013,39953,40.5008,-74.4474
Rutgers- NB,9/1/2014,40720,40.5008,-74.4474
Rutgers- NB,9/1/2015,41699,40.5008,-74.4474
Rutgers- NB,9/1/2016,42314,40.5008,-74.4474
Rutgers- NB,9/1/2017,42808,40.5008,-74.4474
Rutgers- NB,9/1/2018,43354,40.5008,-74.4474
Rutgers- NB,9/1/2019,43389,40.5008,-74.4474
Rutgers- N,9/1/1996,5313,40.741,-74.174
Rutgers- N,9/1/1997,5257,40.741,-74.174
Rutgers- N,9/1/1998,5163,40.741,-74.174
Rutgers- N,9/1/1999,5237,40.741,-74.174
Rutgers- N,9/1/2000,5291,40.741,-74.174
Rutgers- N,9/1/2001,5673,40.741,-74.174
Rutgers- N,9/1/2002,6280,40.741,-74.174
Rutgers- N,9/1/2003,6486,40.741,-74.174
Rutgers- N,9/1/2004,6346,40.741,-74.174
Rutgers- N,9/1/2005,6307,40.741,-74.174
Rutgers- N,9/1/2006,6361,40.741,-74.174
Rutgers- N,9/1/2007,6632,40.741,-74.174
Rutgers- N,9/1/2008,7090,40.741,-74.174
Rutgers- N,9/1/2009,7472,40.741,-74.174
Rutgers- N,9/1/2010,7692,40.741,-74.174
Rutgers- N,9/1/2011,7907,40.741,-74.174
Rutgers- N,9/1/2012,8120,40.741,-74.174
Rutgers- N,9/1/2013,11212,40.741,-74.174
Rutgers- N,9/1/2014,11314,40.741,-74.174
Rutgers- N,9/1/2015,11810,40.741,-74.174
Rutgers- N,9/1/2016,12321,40.741,-74.174
Rutgers- N,9/1/2017,12768,40.741,-74.174
Rutgers- N,9/1/2018,13451,40.741,-74.174
Rutgers- N,9/1/2019,13605,40.741,-74.174
Rutgers- C,9/1/1996,3011,39.9485,-75.1219
Rutgers- C,9/1/1997,3041,39.9485,-75.1219
Rutgers- C,9/1/1998,3188,39.9485,-75.1219
Rutgers- C,9/1/1999,3335,39.9485,-75.1219
Rutgers- C,9/1/2000,3433,39.9485,-75.1219
Rutgers- C,9/1/2001,3408,39.9485,-75.1219
Rutgers- C,9/1/2002,3595,39.9485,-75.1219
Rutgers- C,9/1/2003,3820,39.9485,-75.1219
Rutgers- C,9/1/2004,3837,39.9485,-75.1219
Rutgers- C,9/1/2005,3683,39.9485,-75.1219
Rutgers- C,9/1/2006,3632,39.9485,-75.1219
Rutgers- C,9/1/2007,3630,39.9485,-75.1219
Rutgers- C,9/1/2008,3902,39.9485,-75.1219
Rutgers- C,9/1/2009,4250,39.9485,-75.1219
Rutgers- C,9/1/2010,4532,39.9485,-75.1219
Rutgers- C,9/1/2011,4819,39.9485,-75.1219
Rutgers- C,9/1/2012,4799,39.9485,-75.1219
Rutgers- C,9/1/2013,6264,39.9485,-75.1219
Rutgers- C,9/1/2014,6321,39.9485,-75.1219
Rutgers- C,9/1/2015,6408,39.9485,-75.1219
Rutgers- C,9/1/2016,6475,39.9485,-75.1219
Rutgers- C,9/1/2017,6853,39.9485,-75.1219
Rutgers- C,9/1/2018,7171,39.9485,-75.1219
Rutgers- C,9/1/2019,7233,39.9485,-75.1219
Montclair State,9/1/1996,13128,40.8666,-74.1976
Montclair State,9/1/1997,12851,40.8666,-74.1976
Montclair State,9/1/1998,12756,40.8666,-74.1976
Montclair State,9/1/1999,13285,40.8666,-74.1976
Montclair State,9/1/2000,13502,40.8666,-74.1976
Montclair State,9/1/2001,13855,40.8666,-74.1976
Montclair State,9/1/2002,14673,40.8666,-74.1976
Montclair State,9/1/2003,15204,40.8666,-74.1976
Montclair State,9/1/2004,15637,40.8666,-74.1976
Montclair State,9/1/2005,16063,40.8666,-74.1976
Montclair State,9/1/2006,16076,40.8666,-74.1976
Montclair State,9/1/2007,16736,40.8666,-74.1976
Montclair State,9/1/2008,17475,40.8666,-74.1976
Montclair State,9/1/2009,18171,40.8666,-74.1976
Montclair State,9/1/2010,18042,40.8666,-74.1976
Montclair State,9/1/2011,18498,40.8666,-74.1976
Montclair State,9/1/2012,18382,40.8666,-74.1976
Montclair State,9/1/2013,19464,40.8666,-74.1976
